mt_ssa,scm1_ssa,scm2_ssa,mt_pi,scm1_pi,scm2_pi,opc,mt,scm1,scm2,water,fa,ca,sp,age,strength
6000.0,0.0,4420.0,84.73,0.0,49.36,240.0,120.0,0.0,40.0,160.0,736.0,1104.0,4.0,90.0,61.2
6000.0,0.0,0.0,84.73,0.0,0.0,190.0,190.0,0.0,0.0,152.0,825.0,1093.0,4.0,3.0,30.9
6000.0,0.0,0.0,84.73,0.0,0.0,190.0,190.0,0.0,0.0,152.0,825.0,1093.0,4.0,7.0,37.4
6000.0,0.0,0.0,84.73,0.0,0.0,190.0,190.0,0.0,0.0,152.0,825.0,1093.0,4.0,28.0,45.6
6000.0,0.0,0.0,84.73,0.0,0.0,190.0,190.0,0.0,0.0,152.0,825.0,1093.0,4.0,90.0,48.3
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,57.0,0.0,133.0,152.0,825.0,1093.0,4.0,3.0,40.8
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,57.0,0.0,133.0,152.0,825.0,1093.0,4.0,7.0,56.1
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,57.0,0.0,133.0,152.0,825.0,1093.0,4.0,28.0,60.1
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,57.0,0.0,133.0,152.0,825.0,1093.0,4.0,90.0,68.6
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,133.0,0.0,57.0,152.0,825.0,1093.0,4.0,3.0,37.2
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,133.0,0.0,57.0,152.0,825.0,1093.0,4.0,7.0,47.4
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,133.0,0.0,57.0,152.0,825.0,1093.0,4.0,28.0,54.6
6000.0,0.0,4420.0,84.73,0.0,49.36,190.0,133.0,0.0,57.0,152.0,825.0,1093.0,4.0,90.0,57.3
6000.0,4875.0,0.0,84.73,87.2,0.0,190.0,57.0,133.0,0.0,152.0,825.0,1093.0,4.0,3.0,29.6
6000.0,4875.0,0.0,84.73,87.2,0.0,190.0,57.0,133.0,0.0,152.0,825.0,1093.0,4.0,7.0,36.8
6000.0,4875.0,0.0,84.73,87.2,0.0,190.0,57.0,133.0,0.0,152.0,825.0,1093.0,4.0,28.0,44.4
6000.0,4875.0,0.0,84.73,87.2,0.0,190.0,57.0,133.0,0.0,152.0,825.0,1093.0,4.0,90.0,54.0
